Language_ID,language,Family_name,Macroarea,Longitude,Latitude,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415,Language_Type
agut1237,Agutaynen,Austronesian,Papunesia,119.655,10.5328,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
arta1239,Arta,Austronesian,Papunesia,121.656,16.4185,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,1,1,0,0,Philippine Language
atam1240,Ata Manobo,Austronesian,Papunesia,125.499,7.7789,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
bala1311,Balangingi,Austronesian,Papunesia,121.686646,6.011614,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
bong1289,Bonggi,Austronesian,Papunesia,117.174,7.29249,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
boto1242,Botolan Sambal,Austronesian,Papunesia,120.164,15.2315,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
cent2084,Central Cagayan Agta,Austronesian,Papunesia,121.857,17.9571,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
cent2087,Coastal-Naga Bikol,Austronesian,Papunesia,123.403,13.7574,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,Philippine Language
cent2292,Central Bontoc,Austronesian,Papunesia,120.92,17.08,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Philippine Language
fili1244,Filipino,Austronesian,Papunesia,123.464,12.265,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,Philippine Language
ibal1244,Ibaloi,Austronesian,Papunesia,120.695,16.4263,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
iban1267,Ibanag,Austronesian,Papunesia,121.891,17.4201,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
ibat1238,Ibatan,Austronesian,Papunesia,121.909,18.9398,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,Philippine Language
ilon1239,Ilongot,Austronesian,Papunesia,121.547,16.3785,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,Philippine Language
isin1239,Isinai,Austronesian,Papunesia,121.12,16.3299,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
isna1241,Isnag,Austronesian,Papunesia,121.16,18.2139,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
kaga1256,Kagayanen,Austronesian,Papunesia,119.872,10.4656,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
kara1487,Karao,Austronesian,Papunesia,120.956,16.5655,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,Philippine Language
kele1259,Keley-i Kallahan,Austronesian,Papunesia,121.035,16.7099,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Philippine Language
kina1250,Kinaray-a,Austronesian,Papunesia,122.297,10.8131,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,Philippine Language
magu1243,Maguindanao,Austronesian,Papunesia,124.509,6.9453,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,Philippine Language
masb1238,Masbatenyo,Austronesian,Papunesia,123.63579,12.21453,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,1,0,0,Philippine Language
nort2885,Northern Subanen,Austronesian,Papunesia,123.588,8.5232,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
nucl1643,Japanese,Japonic,Eurasia,135,35,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,Language of Interest
pang1290,Pangasinan,Austronesian,Papunesia,120.365,15.9377,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,Philippine Language
pang1291,Pangutaran Sama,Austronesian,Papunesia,120.536,6.27167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
rung1259,Rungus,Austronesian,Papunesia,116.743,6.83989,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
saba1263,Sabah Malay,Austronesian,Papunesia,117.024,4.64808,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Philippine Language
sout2918,Southern Sama,Austronesian,Papunesia,119.483887,4.755836,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
stan1293,English,Indo-European,Eurasia,-1,53,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Language of Interest
taga1272,Tagabawa,Austronesian,Papunesia,125.175,6.9712,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,Philippine Language
tamb1254,Tambunan Dusun,Austronesian,Papunesia,116.373,5.68284,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
tata1257,Tatana,Austronesian,Papunesia,115.553,5.49808,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
taus1251,Tausug,Austronesian,Papunesia,118.88,5.12236,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,Philippine Language
tbol1240,Tboli,Austronesian,Papunesia,124.538,6.20377,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
timu1262,Timugon Murut,Austronesian,Papunesia,115.826,5.1796,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
tuwa1243,Tuwali Ifugao,Austronesian,Papunesia,121.113,16.6646,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,Philippine Language
west2557,Western Subanon,Austronesian,Papunesia,122.341,7.79964,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,Philippine Language
west2560,West Coast Bajau,Austronesian,Papunesia,116.124,6.00631,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
yaka1277,Yakan,Austronesian,Papunesia,122.021729,6.531023,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
yoga1237,Yogad,Austronesian,Papunesia,121.718,16.7015,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
stan1288,Spanish,Indo-European,Eurasia,-4,40,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,NA,Language of Interest
hadz1240,Hadza,NA,Africa,35.0458,-3.83115,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,3,1,0,1,1,0,0,0,1,1,0,0,1,0,Unrelated Language
kxoe1243,Kxoe,Khoe-Kwadi,Africa,22.599835,-16.59051,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,Unrelated Language
kxoe1243,Buka,Khoe-Kwadi,Africa,22.599835,-16.59051,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,Unrelated Language
kxoe1243,Xu^,Khoe-Kwadi,Africa,22.599835,-16.59051,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,Unrelated Language
hoaa1235,\u450?Hu^,Kxa,Africa,24.69828,-23.93447,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
timn1235,Temne,Atlantic-Congo,Africa,-12.3331,8.90294,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,Unrelated Language
supy1237,Suppire,Atlantic-Congo,Africa,-5.87709,11.632,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,Unrelated Language
dagb1246,Dagbani,Atlantic-Congo,Africa,-0.43227,9.64745,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Unrelated Language
nucl1240,Mumuye,Atlantic-Congo,Africa,11.71545,8.90347,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,Unrelated Language
fonn1241,Fon,Atlantic-Congo,Africa,1.66495,7.15484,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Unrelated Language
nupe1254,Nupe,Atlantic-Congo,Africa,5.40031,9.18404,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
idom1241,Idoma,Atlantic-Congo,Africa,7.71261,7.19139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
dege1246,Degema,Atlantic-Congo,Africa,6.80991,4.73373,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Unrelated Language
nucl1417,Igbo,Atlantic-Congo,Africa,7.23441,4.62705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Unrelated Language
aghe1239,Aghem,Atlantic-Congo,Africa,10.0807,6.38956,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,Unrelated Language
baba1266,Babanki,Atlantic-Congo,Africa,10.2869,5.97863,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,Unrelated Language
tika1246,Tikar,Atlantic-Congo,Africa,11.6104,5.87004,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,Unrelated Language
beem1239,Bembe\sub 2\nosupersub,Atlantic-Congo,Africa,14.1,-3.95895,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,3,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Unrelated Language
nyor1246,Nyoro,Atlantic-Congo,Africa,31.3493,0.95294,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,Unrelated Language
nyak1260,Nyakyusa,Atlantic-Congo,Africa,33.7763,-9.71018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Unrelated Language
mwer1248,Mwera,Atlantic-Congo,Africa,38.8762,-9.75639,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,Unrelated Language
tswa1253,Tswana,Atlantic-Congo,Africa,24.7587,-24.368,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Unrelated Language
sout2807,Southern Sotho,Atlantic-Congo,Africa,27.89,-28.78,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Unrelated Language
lozi1239,Lozi,Atlantic-Congo,Africa,24.7398,-17.7052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Unrelated Language
zarm1239,Songhai,Songhay,Africa,2.41173,12.8554,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Unrelated Language
cent2050,Kanuri,Saharan,Africa,13.13,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
furr1244,Fur,Furan,Africa,23.6401,12.0455,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
kenu1236,Dongolawi,Nubian,Africa,31.8992,21.2837,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,Unrelated Language
murl1244,Murle,Surmic,Africa,33.988,6.69756,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,Unrelated Language
shil1265,Shilluk,Nilotic,Africa,31.7926,9.85472,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Unrelated Language
nuer1246,Nuer,Nilotic,Africa,32.3829,8.13911,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Unrelated Language
mang1394,Mangbetu,Central Sudanic,Africa,27.0712,2.5511,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,Unrelated Language
copt1239,Coptic,Afro-Asiatic,Africa,31.2053,29.472,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,Unrelated Language
tera1251,Tera,Afro-Asiatic,Africa,11.80953,11.0376,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
marg1265,Margi,Afro-Asiatic,Africa,13.0521,10.93854,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
huba1236,Kilba,Afro-Asiatic,Africa,13.139,10.3544,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Unrelated Language
glav1244,Glavda,Afro-Asiatic,Africa,13.8652,11.1334,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Unrelated Language
gude1246,Gude,Afro-Asiatic,Africa,13.403,10.2138,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,Unrelated Language
dera1248,Kanakuru,Afro-Asiatic,Africa,12.0256,10.072,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Unrelated Language
mwag1236,Sura,Afro-Asiatic,Africa,8.96522,9.47205,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,Unrelated Language
paaa1242,Paa,Afro-Asiatic,Africa,9.30091,11.0175,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,Unrelated Language
zays1235,Zayse,Ta-Ne-Omotic,Africa,37.3409,5.83747,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,Unrelated Language
qima1242,Kemant,Afro-Asiatic,Africa,37.0542,12.8119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Unrelated Language
bili1260,Bilin,Afro-Asiatic,Africa,38.3917,15.7833,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,Unrelated Language
burj1242,Burji,Afro-Asiatic,Africa,38.4646,4.44624,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,Unrelated Language
hadi1240,Hadiyya,Afro-Asiatic,Africa,37.7577,7.57377,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,Unrelated Language
