"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_448","ɬ̪","ɬ̪","consonant","dental",1,8,1,NA,NA,NA,TRUE,TRUE
"phoneme_534","n̪ᵚ","n̪ᵚ","consonant","dental",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_552","ɗ̪","ɗ̪","consonant","dental",1,4,1,NA,NA,NA,TRUE,TRUE
"phoneme_559","ᵈt̪ˣ","ᵈt̪ˣ","consonant","dental",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_614","t̪ᵚ","t̪ᵚ","consonant","dental",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_721","r̪","r̪","consonant","dental",3,20,1,NA,NA,NA,TRUE,TRUE
"phoneme_091","t̪ˀ","t̪ˀ","consonant","dental+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_096","ᵈt̪ˀ","ᵈt̪ˀ","consonant","dental+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_352","ˀs̪","ˀs̪","consonant","dental+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_513","ˀn̪","ˀn̪","consonant","dental+glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_638","ˀd̪","ˀd̪","consonant","dental+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_670","t̪ˀ","t̪ˀ","consonant","dental+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_319","s̪ːˀ","s̪ːˀ","consonant","dental+glottalized+long",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_686","t̪ʷ","t̪ʷ","consonant","dental+labialized",1,7,1,NA,NA,NA,TRUE,TRUE
"phoneme_351","z̪ʲ","z̪ʲ","consonant","dental+palatalized",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_067","ⁿd̪ᶻ","ⁿd̪ᶻ","consonant","dental+prenasalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_678","ⁿd̪","ⁿd̪","consonant","dental+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_427","l̪̥","l̪̥","consonant","dental+voiceless",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_505","n̪̥","n̪̥","consonant","dental+voiceless",0,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_555","ʔ","ʔ","consonant","glottalized",898,731,0.107784964815386,0.191658101968467,-0.0838731371530804,"-",TRUE,TRUE
"phoneme_598","ˀd","ˀd","consonant","glottalized",22,2,0.714913993238342,1,-0.285086006761658,"-",TRUE,TRUE
"phoneme_595","ˀb","ˀb","consonant","glottalized",42,4,0.68261866567622,1,-0.31738133432378,"-",TRUE,TRUE
"phoneme_011","tˣˀ","tˣˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_013","cʹˀ","cʹˀ","consonant","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_016","kˡˀ","kˡˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_021","pˢ̌ˀ","pˢ̌ˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_022","ʈˢˀ","ṭˢˀ","consonant","glottalized",5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_023","tʃ̣ˀ","č̣ˀ","consonant","glottalized",7,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_030","ᶡtʃˀ","ᶡčˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_032","ͫpˀ","ͫpˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_037","qᵡˀ","qᵡˀ","consonant","glottalized",16,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_045","dᶻˀ","dᶻˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_053","tˡˀ","tˡˀ","consonant","glottalized",71,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_061","ˀbˡ","ˀbˡ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_077","tʃˀ","čˀ","consonant","glottalized",185,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_080","ˀɡ̌","ˀɡ̌","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_083","ᵈtʃˀ","ᵈčˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_085","tˢˀ","tˢˀ","consonant","glottalized",188,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_087","ᵈtˢˀ","ᵈtˢˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_097","ͫpᶠˀ","ͫpᶠˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_098","tᶿˀ","tᶿˀ","consonant","glottalized",5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_101","pˀ","pˀ","consonant","glottalized",1,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_104","kˣˀ","kˣˀ","consonant","glottalized",18,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_112","pᶠˀ","pᶠˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_290","xˀ","xˀ","consonant","glottalized",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_297","sˀ","sˀ","consonant","glottalized",21,4,1,NA,NA,NA,TRUE,TRUE
"phoneme_301","ˀʐ","ˀẓ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_305","ˀɣ","ˀɣ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_307","ʯˀ","ʯˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_308","ˀh","ˀh","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_314","ˀv","ˀv","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_316","ˀz","ˀz","consonant","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_322","zˀ","zˀ","consonant","glottalized",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_323","ɸˀ","ɸˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_326","ˀð","ˀð","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_330","ʂˀ","ṣˀ","consonant","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_331","ʕˀ","ʕˀ","consonant","glottalized",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_347","ʃˀ","šˀ","consonant","glottalized",11,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_350","ʁˀ","ʁˀ","consonant","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_355","ˀʁ","ˀʁ","consonant","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_365","ʮˀ","ʮˀ","consonant","glottalized",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_379","fˀ","fˀ","consonant","glottalized",4,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_412","ˀj","ˀj","consonant","glottalized",53,7,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_417","jˀ","jˀ","consonant","glottalized",7,8,0.805398525823219,NA,NA,NA,TRUE,TRUE
"phoneme_419","ˀw","ˀw","consonant","glottalized",41,6,0.805398525823219,NA,NA,NA,TRUE,TRUE
"phoneme_421","wˀ","wˀ","consonant","glottalized",6,5,0.805398525823219,NA,NA,NA,TRUE,TRUE
"phoneme_431","ɬˀ","ɬˀ","consonant","glottalized",6,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_437","ˀl","ˀl","consonant","glottalized",31,4,0.754440279706002,NA,NA,NA,TRUE,TRUE
"phoneme_450","lˀ","lˀ","consonant","glottalized",4,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_508","ˀn˜","ˀn˜","consonant","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_518","ŋˀ","ŋˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_522","nˀ","nˀ","consonant","glottalized",7,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_523","ˀm","ˀm","consonant","glottalized",41,8,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_526","ˀn","ˀn","consonant","glottalized",40,7,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_531","mˀ","mˀ","consonant","glottalized",8,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_543","ˀŋ","ˀŋ","consonant","glottalized",6,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_561","dˀ","dˀ","consonant","glottalized",5,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_570","tˣˀ","tˣˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_577","ɖˀ","ḍˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_582","bˀ","bˀ","consonant","glottalized",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_599","kˀ","kˀ","consonant","glottalized",225,4,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_602","pˀkˣˀ","pˀkˣˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_604","ˀk","ˀk","consonant","glottalized",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_611","ˀp","ˀp","consonant","glottalized",1,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_615","ˀt","ˀt","consonant","glottalized",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_617","cˀ","cˀ","consonant","glottalized",13,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_618","tˀ","tˀ","consonant","glottalized",228,2,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_627","ˀɟ","ˀɟ","consonant","glottalized",3,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_647","ʈˀ","ṭˀ","consonant","glottalized",14,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_658","pˀ","pˀ","consonant","glottalized",154,3,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_661","ɡˀ","ɡˀ","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_667","ʔ˜","ʔ˜","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_681","qˀ","qˀ","consonant","glottalized",101,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_683","kˣˀ","kˣˀ","consonant","glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_684","ˀɗ̣","ˀɗ̣","consonant","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_701","rˀ","rˀ","consonant","glottalized",1,1,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_710","ˀr","ˀr","consonant","glottalized",9,2,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_728","ˀɾ","ˀɾ","consonant","glottalized",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_583","ʔʷ","ʔʷ","consonant","glottalized+labialized",3,14,1,1,0,"0",TRUE,TRUE
"phoneme_025","tˢˀʷ","tˢˀʷ","consonant","glottalized+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_048","qᵡˀʷ","qᵡˀʷ","consonant","glottalized+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_340","xˀʷ","xˀʷ","consonant","glottalized+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_344","ʯˀʷ","ʯˀʷ","consonant","glottalized+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_349","ˀʁʷ","ˀʁʷ","consonant","glottalized+labialized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_387","ʕˀʷ","ʕˀʷ","consonant","glottalized+labialized",5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_517","ˀŋʷ","ˀŋʷ","consonant","glottalized+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_585","qˀʷ","qˀʷ","consonant","glottalized+labialized",33,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_691","kˀʷ","kˀʷ","consonant","glottalized+labialized",55,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_059","tːˡˀ","tːˡˀ","consonant","glottalized+long",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_078","kːˣˀ","kːˣˀ","consonant","glottalized+long",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_082","qːᵡˀ","qːᵡˀ","consonant","glottalized+long",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_292","ʃːˀ","šːˀ","consonant","glottalized+long",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_677","ʔʲ","ʔʲ","consonant","glottalized+palatalized",1,13,1,NA,NA,NA,TRUE,TRUE
"phoneme_689","kˀʲ","kˀʲ","consonant","glottalized+palatalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_046","ⁿtˡˀ","ⁿtˡˀ","consonant","glottalized+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_521","mʷ","mʷ","consonant","labialized",4,49,0.877220139853001,0.575960348661901,0.3012597911911,"+",TRUE,TRUE
"phoneme_645","pʷ","pʷ","consonant","labialized",5,38,0.877220139853001,0.634752124950132,0.242468014902869,"+",TRUE,TRUE
"phoneme_514","ŋʷ","ŋʷ","consonant","labialized",29,91,1,0.817376062475066,0.182623937524934,"+",TRUE,TRUE
"phoneme_551","kʷ","kʷ","consonant","labialized",181,259,1,0.817376062475066,0.182623937524934,"+",TRUE,TRUE
"phoneme_603","bʷ","bʷ","consonant","labialized",7,38,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_366","xʷ","xʷ","consonant","labialized",59,51,1,1,0,"0",TRUE,TRUE
"phoneme_601","ɡʷ","ɡʷ","consonant","labialized",61,129,1,1,0,"0",TRUE,TRUE
"phoneme_655","kpʷ","kpʷ","consonant","labialized",2,4,1,1,0,"0",TRUE,TRUE
"phoneme_364","βʷ","βʷ","consonant","labialized",3,3,0.805398525823219,1,-0.194601474176781,"-",TRUE,TRUE
"phoneme_024","tʃʷ","čʷ","consonant","labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_047","qᵡʷ","qᵡʷ","consonant","labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_076","ɡ̌ʷ","ɡ̌ʷ","consonant","labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_285","vʷ","vʷ","consonant","labialized",2,9,1,NA,NA,NA,TRUE,TRUE
"phoneme_286","ɣʷ","ɣʷ","consonant","labialized",11,17,1,NA,NA,NA,TRUE,TRUE
"phoneme_300","ʃʷ","šʷ","consonant","labialized",1,24,1,NA,NA,NA,TRUE,TRUE
"phoneme_304","sʷ","sʷ","consonant","labialized",3,28,1,NA,NA,NA,TRUE,TRUE
"phoneme_311","ʯʷ","ʯʷ","consonant","labialized",32,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_318","ʕʷ","ʕʷ","consonant","labialized",5,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_324","fʷ","fʷ","consonant","labialized",6,31,1,NA,NA,NA,TRUE,TRUE
"phoneme_332","ɸʷ","ɸʷ","consonant","labialized",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_335","ʁʷ","ʁʷ","consonant","labialized",3,16,1,NA,NA,NA,TRUE,TRUE
"phoneme_346","zʷ","zʷ","consonant","labialized",1,12,1,NA,NA,NA,TRUE,TRUE
"phoneme_363","hʷ","hʷ","consonant","labialized",21,42,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_548","nʷ","nʷ","consonant","labialized",0,26,1,NA,NA,NA,TRUE,TRUE
"phoneme_626","ͫbʷ","ͫbʷ","consonant","labialized",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_654","ɡbʷ","ɡbʷ","consonant","labialized",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_657","Gʷ","Gʷ","consonant","labialized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_662","ɓʷ","ɓʷ","consonant","labialized",2,2,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_693","qʷ","qʷ","consonant","labialized",45,23,1,NA,NA,NA,TRUE,TRUE
"phoneme_717","ɽʷ","ṛʷ","consonant","labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_581","ɡːʷ","ɡːʷ","consonant","labialized+long",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_620","ᵑkʷ","ᵑkʷ","consonant","labialized+prenasalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_679","ᵑɡʷ","ᵑɡʷ","consonant","labialized+prenasalized",6,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_512","ŋ̥ʷ","ŋ̥ʷ","consonant","labialized+voiceless",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_367","sː","sː","consonant","long",2,48,1,0.817376062475066,0.182623937524934,"+",TRUE,TRUE
"phoneme_564","pː","pː","consonant","long",1,35,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_646","kː","kː","consonant","long",2,54,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_584","tː","tː","consonant","long",3,39,1,1,0,"0",TRUE,TRUE
"phoneme_682","ɡː","ɡː","consonant","long",1,36,1,1,0,"0",TRUE,TRUE
"phoneme_002","tːˡ","tːˡ","consonant","long",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_017","ɡ̌ː","ɡ̌ː","consonant","long",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_034","qːᵡ","qːᵡ","consonant","long",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_075","kːˣ","kːˣ","consonant","long",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_092","tʃː","čː","consonant","long",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_298","ʮː","ʮː","consonant","long",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_382","çː","çː","consonant","long",9,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_436","ɬː","ɬː","consonant","long",1,4,1,NA,NA,NA,TRUE,TRUE
"phoneme_664","ɖː","ḍː","consonant","long",1,5,1,NA,NA,NA,TRUE,TRUE
"phoneme_672","cː","cː","consonant","long",2,7,1,NA,NA,NA,TRUE,TRUE
"phoneme_028","ⁿ̃ɡ̣̌","ⁿ̃ɡ̣̌","consonant","nasalized+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_072","ⁿ̃ɡ̌","ⁿ̃ɡ̌","consonant","nasalized+prenasalized",44,NA,0.610797051646438,NA,NA,NA,TRUE,FALSE
"phoneme_320","ⁿ̃ʒ","ⁿ̃ž","consonant","nasalized+prenasalized",4,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_636","ⁿ̃ɟ","ⁿ̃ɟ","consonant","nasalized+prenasalized",20,NA,0.592134133091343,NA,NA,NA,TRUE,FALSE
"phoneme_616","tʲ","tʲ","consonant","palatalized",9,56,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_306","βʲ","βʲ","consonant","palatalized",1,9,1,1,0,"0",TRUE,TRUE
"phoneme_530","nʲ","nʲ","consonant","palatalized",4,40,1,1,0,"0",TRUE,TRUE
"phoneme_565","dʲ","dʲ","consonant","palatalized",8,38,1,1,0,"0",TRUE,TRUE
"phoneme_671","kʲ","kʲ","consonant","palatalized",14,63,1,1,0,"0",TRUE,TRUE
"phoneme_723","rʲ","rʲ","consonant","palatalized",4,24,1,1,0,"0",TRUE,TRUE
"phoneme_071","tʃʲ","čʲ","consonant","palatalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_293","ʃʲ","šʲ","consonant","palatalized",2,8,1,NA,NA,NA,TRUE,TRUE
"phoneme_317","sʲ","sʲ","consonant","palatalized",3,30,1,NA,NA,NA,TRUE,TRUE
"phoneme_325","ðʲ","ðʲ","consonant","palatalized",1,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_359","ɸʲ","ɸʲ","consonant","palatalized",1,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_378","hʲ","hʲ","consonant","palatalized",1,23,1,NA,NA,NA,TRUE,TRUE
"phoneme_455","lʲ","lʲ","consonant","palatalized",3,45,1,NA,NA,NA,TRUE,TRUE
"phoneme_539","ŋʲ","ŋʲ","consonant","palatalized",1,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_668","ɡʲ","ɡʲ","consonant","palatalized",3,47,1,NA,NA,NA,TRUE,TRUE
"phoneme_591","ⁿdʲ","ⁿdʲ","consonant","palatalized+prenasalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_541","ŋ̥ʲ","ŋ̥ʲ","consonant","palatalized+voiceless",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_070","ⁿdˡ","ⁿdˡ","consonant","prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_086","ⁿdᶻ","ⁿdᶻ","consonant","prenasalized",13,NA,0.805398525823219,NA,NA,NA,TRUE,FALSE
"phoneme_113","ⁿtˢ","ⁿtˢ","consonant","prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_299","ⁿs","ⁿs","consonant","prenasalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_303","ⁿz","ⁿz","consonant","prenasalized",12,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_572","ⁿd","ⁿd","consonant","prenasalized",174,NA,0.300100808630239,NA,NA,NA,TRUE,FALSE
"phoneme_574","ⁿɖ","ⁿḍ","consonant","prenasalized",7,NA,0.754440279706002,NA,NA,NA,TRUE,FALSE
"phoneme_576","ᴺG","ᴺG","consonant","prenasalized",2,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_587","ⁿt","ⁿt","consonant","prenasalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_589","ᵑɡ","ᵑɡ","consonant","prenasalized",164,NA,0.329691749381609,NA,NA,NA,TRUE,FALSE
"phoneme_610","ᵑͫɡb","ᵑͫɡb","consonant","prenasalized",5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_650","ᵑk","ᵑk","consonant","prenasalized",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_695","ⁿ̯d̯","ⁿ̯d̯","consonant","prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_696","ⁿɾ","ⁿɾ","consonant","prenasalized",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_447","l̥","l̥","consonant","voiceless",49,52,0.805398525823219,0.817376062475066,-0.0119775366518473,"-",TRUE,TRUE
"phoneme_725","ɾ̥","ɾ̥","consonant","voiceless",7,5,0.877220139853001,1,-0.122779860146999,"-",TRUE,TRUE
"phoneme_550","ŋ̥","ŋ̥","consonant","voiceless",30,20,0.592134133091343,0.817376062475066,-0.225241929383723,"-",TRUE,TRUE
