"","Agta","Atta","Balangaw","Batak","Cotabato Bilaan","Sarangani Bilaan","Binukid","Central Bontok","Buhid","Cebuano","Kuyunon","Casiguran Dumagat","Gaddang","Hanunoo","Hiligaynon","Ibanag","Central Ifugao","East Ifugao","Ilokano","Ilongot","Inibaloi","Iraya","Isnag","Itbayaten","Itneg","Ivatanen","Kalagan","North Kalinga","Central Kalinga","South Kalinga","North Kallahan","North Kankanay","Kapampangan","Magindanao","Mamanwa","Ata","Dibabawon","Ilianen","Kalamansig","Sarangani Manobo","Tigwa","Western Bukidnon","Mansakan","Maranao","Naga","Pangasinan","Waray","Tina","Sangil","Siocon Subanon","Sindangan","Tagalog","Tagbanwa","Kalamianen","Tausug","Tboli","Tiruray","Yogad"
"Kalamansig",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2619.41814207878,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,2619.41814207878,2619.41814207878,2619.41814207878,0,1511.2978037288,2619.41814207878,2619.41814207878,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Sarangani Manobo",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2619.41814207878,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,2619.41814207878,2619.41814207878,2619.41814207878,1511.2978037288,0,2619.41814207878,2619.41814207878,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Tigwa",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2368.96597953696,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,450.017375183636,1861.6972190877,1426.42727067352,2619.41814207878,2619.41814207878,0,1426.42727067352,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Western Bukidnon",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2368.96597953696,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,1426.42727067352,1861.6972190877,848.497731915621,2619.41814207878,2619.41814207878,1426.42727067352,0,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Mansakan",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,3833.87636216406,3833.87636216406,6010.6341046086,6010.6341046086,5090.47159841496,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,1442.82021180518,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,3833.87636216406,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,0,4428.04484206979,3833.87636216406,6010.6341046086,3833.87636216406,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,3833.87636216406,4428.04484206979,4428.04484206979,6010.6341046086
"Maranao",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,3584.87415108507,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,1917.74531047333,4428.04484206979,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,4428.04484206979,0,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Naga",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,2875.6889427694,3201.70265576022,6010.6341046086,6010.6341046086,5090.47159841496,3201.70265576022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,2875.6889427694,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,0,6010.6341046086,2523.46027265302,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,2875.6889427694,4428.04484206979,4428.04484206979,6010.6341046086
"Pangasinan",4286.52922538778,4286.52922538778,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,3538.80768883702,3538.80768883702,4286.52922538778,2752.71455393814,2188.07628592418,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,4906.1939289813,6010.6341046086,3538.80768883702,3538.80768883702,3538.80768883702,2188.07628592418,3538.80768883702,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Waray",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,2875.6889427694,3201.70265576022,6010.6341046086,6010.6341046086,5090.47159841496,3201.70265576022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,2875.6889427694,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,2523.46027265302,6010.6341046086,0,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,2875.6889427694,4428.04484206979,4428.04484206979,6010.6341046086
"Tina",5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,5307.65093095348,6010.6341046086,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,3392.51800202773,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,6010.6341046086,0,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348
"Sangil",6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,0,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896,6760.46798272896
"Siocon Subanon",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,3958.64536812145,3958.64536812145,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,0,1264.78173186815,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,3958.64536812145,3958.64536812145,6010.6341046086
"Sindangan",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,3958.64536812145,3958.64536812145,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,1264.78173186815,0,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,3958.64536812145,3958.64536812145,6010.6341046086
"Tagalog",6010.6341046086,6010.6341046086,6010.6341046086,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086,6010.6341046086,5222.45424519902,5222.45424519902,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5222.45424519902,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5222.45424519902,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086,5222.45424519902,6010.6341046086,6760.46798272896,5222.45424519902,5222.45424519902,0,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086
"Tagbanwa",6010.6341046086,6010.6341046086,6010.6341046086,2010.18213258557,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,5090.47159841496,4800.21412629267,4800.21412629267,6010.6341046086,6010.6341046086,5090.47159841496,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,4800.21412629267,6010.6341046086,6760.46798272896,4800.21412629267,4800.21412629267,5222.45424519902,0,3274.37403718463,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086
"Kalamianen",6010.6341046086,6010.6341046086,6010.6341046086,3274.37403718463,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,5090.47159841496,4800.21412629267,4800.21412629267,6010.6341046086,6010.6341046086,5090.47159841496,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,4800.21412629267,6010.6341046086,6760.46798272896,4800.21412629267,4800.21412629267,5222.45424519902,3274.37403718463,0,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086
"Tausug",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,2452.32506455432,3201.70265576022,6010.6341046086,6010.6341046086,5090.47159841496,3201.70265576022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,1813.24941705847,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,2875.6889427694,6010.6341046086,2875.6889427694,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,0,4428.04484206979,4428.04484206979,6010.6341046086
"Tboli",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,1073.42212669082,1073.42212669082,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,3958.64536812145,3958.64536812145,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,0,2625.34146937998,6010.6341046086
"Tiruray",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,2625.34146937998,2625.34146937998,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,3958.64536812145,3958.64536812145,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,2625.34146937998,0,6010.6341046086
"Yogad",2481.36302006827,2481.36302006827,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,2013.7564634882,6010.6341046086,6010.6341046086,2481.36302006827,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,2481.36302006827,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0
